TAS_SOURCE_ID,PLANT_ID,PLANT_NAME,PLANT_NAME_2,VALUATION_AREA_ID,PLANT_CATEGORY,PURCHASING_ORGANISATION_ID,CUSTOMER_ID,VENDOR_ID,SALES_ORGANISATION_ID,DISTRIBUTION_CHANNEL_ID,DIVISION_ID,ADDRESS_ID,SALES_DISTRICT_ID,ADDRESS,CITY,REGION,COUNTRY,SALES_OPER_PLANNING_PLANT_IND,FACTORY_CALENDAR_CD,PLANNING_PLANT,SHIPPING_PLANT,DWH_CHANGE_DATE
SAP01,P100,Windsor Locks,Windsor Locks Facility,P100,Service,POrg-P100,CUST-2824,VEND-P100,SO-US,10,03,ADDR-P100,EAST,4606 Industrial Pkwy,Windsor Locks,CT,US,X,FC-US,P100,P100,2025-04-25 04:47:06
SAP01,P200,Rockford,Rockford Facility,P200,Service,POrg-P200,CUST-9935,VEND-P200,SO-US,10,03,ADDR-P200,CENTRAL,7012 Industrial Pkwy,Rockford,IL,US,X,FC-US,P200,P200,2025-01-16 02:13:14
SAP02,P300,Burnsville,Burnsville Facility,P300,Service,POrg-P300,CUST-1434,VEND-P300,SO-US,30,01,ADDR-P300,CENTRAL,9028 Industrial Pkwy,Burnsville,MN,US,,FC-US,P300,P300,2025-04-23 14:37:17
SAP01,P400,Pueblo,Pueblo Facility,P400,Manufacturing,POrg-P400,CUST-3615,VEND-P400,SO-US,30,02,ADDR-P400,WEST,5674 Industrial Pkwy,Pueblo,CO,US,,FC-US,P400,P400,2025-03-21 06:48:21
SAP03,P500,Singapore,Singapore Facility,P500,Manufacturing,POrg-P500,CUST-2519,VEND-P500,SO-SG,20,01,ADDR-P500,APAC,5981 Industrial Pkwy,Singapore,SG,SG,,FC-SG,P500,P500,2025-11-06 08:51:02
SAP02,P600,Figeac,Figeac Facility,P600,Service,POrg-P600,CUST-8527,VEND-P600,SO-FR,30,01,ADDR-P600,EMEA,6301 Industrial Pkwy,Figeac,OC,FR,X,FC-FR,P600,P600,2025-10-10 09:53:40
SAP01,P700,Wolverhampton,Wolverhampton Facility,P700,Service,POrg-P700,CUST-6925,VEND-P700,SO-GB,30,01,ADDR-P700,EMEA,1239 Industrial Pkwy,Wolverhampton,WM,GB,X,FC-GB,P700,P700,2025-12-05 07:49:18
SAP03,P800,Suzhou,Suzhou Facility,P800,Manufacturing,POrg-P800,CUST-4814,VEND-P800,SO-CN,10,02,ADDR-P800,APAC,4654 Industrial Pkwy,Suzhou,JS,CN,,FC-CN,P800,P800,2025-11-22 11:10:23
SAP02,P900,Mexicali,Mexicali Facility,P900,Distribution,POrg-P900,CUST-4432,VEND-P900,SO-MX,30,02,ADDR-P900,LATAM,1269 Industrial Pkwy,Mexicali,BC,MX,X,FC-MX,P900,P900,2025-10-01 23:15:10
SAP01,P010,Jacksonville,Jacksonville Facility,P010,Distribution,POrg-P010,CUST-7216,VEND-P010,SO-US,20,03,ADDR-P010,EAST,9225 Industrial Pkwy,Jacksonville,FL,US,X,FC-US,P010,P010,2025-12-17 10:53:49
